City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
478,Pemba,MZ,75.2,moderate rain,-12.97,40.52,Guesthouse Samotina
480,Zihuatanejo,MX,82.4,clear sky,17.63,-101.55,La Casa Que Canta
481,Rajnagar,IN,82.51,broken clouds,24.88,79.92,The LaLiT Temple View Khajuraho
485,Lorengau,PG,80.87,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
491,Teshie,GH,87.8,clear sky,5.58,-0.11,ANAIVEH SERVICES
492,Humberto De Campos,BR,85.17,overcast clouds,-2.6,-43.46,Pousada do Cabeça
496,Placido De Castro,BR,85.01,broken clouds,-10.34,-67.19,Hotel Califórnia
498,Ratnagiri,IN,82.11,few clouds,16.98,73.3,Hotel Landmark
503,Amapa,BR,81.28,overcast clouds,1.0,-52.0,
504,Oistins,BB,80.6,volcanic ash,13.07,-59.53,Butterfly Beach Hotel
505,Cauquenes,CL,76.12,clear sky,-35.97,-72.32,Viña Don Heraldo
507,Birao,CF,89.91,overcast clouds,10.28,22.79,
509,Le Port,RE,80.6,clear sky,-20.94,55.29,KORBEY D'OR OUEST
513,Bom Jesus Do Itabapoana,BR,84.15,clear sky,-21.13,-41.68,Pitucão Hotel e Restaurante
528,Bubaque,GW,77.32,few clouds,11.28,-15.83,"Casa Dora, Bubaque"
