City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Sterling,US,2021-04-09 17:05:20,39.0062,-77.4286,59.0,88,90,5.75
211,Nara,JP,2021-04-09 17:00:54,34.6851,135.8049,44.01,69,99,4.34
212,Penticton,CA,2021-04-09 17:05:21,49.4806,-119.5858,41.0,48,90,10.36
213,Samoylovka,RU,2021-04-09 17:05:21,51.184,43.7081,39.92,76,100,12.41
214,Sobolevo,RU,2021-04-09 17:05:21,54.4299,31.8996,38.68,68,57,7.96
215,Sundargarh,IN,2021-04-09 17:05:22,22.1167,84.0333,81.84,42,61,9.66
216,Kutum,SD,2021-04-09 17:05:22,14.2,24.6667,81.14,6,12,11.88
217,Jamestown,US,2021-04-09 17:00:28,42.097,-79.2353,68.0,63,90,11.5
218,Gwadar,PK,2021-04-09 17:05:22,25.1216,62.3254,79.21,77,0,11.25
219,Coquimbo,CL,2021-04-09 17:05:23,-29.9533,-71.3436,66.2,59,0,13.8
220,Codrington,AU,2021-04-09 17:05:23,-38.2667,141.9667,56.5,74,100,12.28
221,Yar-Sale,RU,2021-04-09 17:05:23,66.8333,70.8333,33.62,96,100,21.97
222,Bayan,CN,2021-04-09 17:05:17,46.0833,127.4,40.77,32,55,5.53
223,Haines Junction,CA,2021-04-09 17:05:24,60.7522,-137.5108,5.0,56,100,17.27
224,Faya,SA,2021-04-09 17:05:24,18.3851,42.4509,73.4,45,20,5.75
225,Santa Maria,BR,2021-04-09 17:05:25,-29.6842,-53.8069,93.2,40,40,10.36
226,Vardo,NO,2021-04-09 17:05:25,70.3705,31.1107,26.6,74,0,20.71
227,Hermanus,ZA,2021-04-09 17:05:25,-34.4187,19.2345,66.99,81,93,6.35
228,Leningradskiy,RU,2021-04-09 17:05:26,69.3833,178.4167,-22.31,96,36,4.94
229,Khandyga,RU,2021-04-09 17:05:26,62.6667,135.6,27.03,97,100,1.99
230,Corrales,US,2021-04-09 17:04:30,35.2378,-106.6067,66.0,10,1,23.02
231,Kerema,PG,2021-04-09 17:05:26,-7.9631,145.7785,76.53,87,91,3.98
232,Bosaso,SO,2021-04-09 17:05:27,11.2842,49.1816,79.57,64,4,0.89
233,Erenhot,CN,2021-04-09 17:05:27,43.6475,111.9767,52.65,21,97,13.47
234,Channel-Port Aux Basques,CA,2021-04-09 17:05:27,47.5702,-59.1367,44.31,72,5,15.17
235,Salym,RU,2021-04-09 17:05:27,60.0625,71.4789,29.16,97,54,4.14
